Class,Your Text Output,Face with Explainability,Confusion Matrix,ROC Curve,timestamp
"{""label"": ""real"", ""confidences"": [{""label"": ""real"", ""confidence"": 0.9989245533943176}, {""label"": ""fake"", ""confidence"": 0.001075446605682373}]}",0,"{""path"": "".gradio\\cached_examples\\19\\Face with Explainability\\4c72913ce82678d55516\\image.webp"", ""url"": ""/gradio_api/file=C:\\Users\\Rudraksh\\AppData\\Local\\Temp\\gradio\\972539cb6506b3d2c1a679afdb79ccb653bab01580cccc681b7f20ec61b957e9\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}","{""path"": "".gradio\\cached_examples\\19\\Confusion Matrix\\81a34bd587f4f15bb6b0\\confusion_matrix.png"", ""url"": ""/gradio_api/file=C:\\Users\\Rudraksh\\AppData\\Local\\Temp\\gradio\\c11214e40bc377f739a790affd1845f61826bf80172d11a766d4ede33e9b7783\\confusion_matrix.png"", ""size"": null, ""orig_name"": ""confusion_matrix.png"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}","{""path"": "".gradio\\cached_examples\\19\\ROC Curve\\90a77c990a1b5ba44756\\roc_curve.png"", ""url"": ""/gradio_api/file=C:\\Users\\Rudraksh\\AppData\\Local\\Temp\\gradio\\004012f7829a0e32a445ef621cbb340583fbacc28f859db800b62312286a1acd\\roc_curve.png"", ""size"": null, ""orig_name"": ""roc_curve.png"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",2024-10-22 20:37:18.766550
"{""label"": ""fake"", ""confidences"": [{""label"": ""fake"", ""confidence"": 0.9878975059837103}, {""label"": ""real"", ""confidence"": 0.012102494016289711}]}",1,"{""path"": "".gradio\\cached_examples\\19\\Face with Explainability\\6c12d1420b14e1f2b5a2\\image.webp"", ""url"": ""/gradio_api/file=C:\\Users\\Rudraksh\\AppData\\Local\\Temp\\gradio\\cdd322b8d79437ed4c906735fe5cfaf17b62e04b1e8bde930875afcee035ada0\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}","{""path"": "".gradio\\cached_examples\\19\\Confusion Matrix\\76efbd44d67dfb43a500\\confusion_matrix.png"", ""url"": ""/gradio_api/file=C:\\Users\\Rudraksh\\AppData\\Local\\Temp\\gradio\\c11214e40bc377f739a790affd1845f61826bf80172d11a766d4ede33e9b7783\\confusion_matrix.png"", ""size"": null, ""orig_name"": ""confusion_matrix.png"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}","{""path"": "".gradio\\cached_examples\\19\\ROC Curve\\61a73b39696f8ebbeb16\\roc_curve.png"", ""url"": ""/gradio_api/file=C:\\Users\\Rudraksh\\AppData\\Local\\Temp\\gradio\\004012f7829a0e32a445ef621cbb340583fbacc28f859db800b62312286a1acd\\roc_curve.png"", ""size"": null, ""orig_name"": ""roc_curve.png"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",2024-10-22 20:37:20.762353
"{""label"": ""real"", ""confidences"": [{""label"": ""real"", ""confidence"": 0.7893565893173218}, {""label"": ""fake"", ""confidence"": 0.21064341068267822}]}",0,"{""path"": "".gradio\\cached_examples\\19\\Face with Explainability\\d15d935843bd46608c30\\image.webp"", ""url"": ""/gradio_api/file=C:\\Users\\Rudraksh\\AppData\\Local\\Temp\\gradio\\956c838239ae1a9d27dedb5244f7dd51471f89c93789331d20a4a3c3f7d204e1\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}","{""path"": "".gradio\\cached_examples\\19\\Confusion Matrix\\ff12f47b7307759088a0\\confusion_matrix.png"", ""url"": ""/gradio_api/file=C:\\Users\\Rudraksh\\AppData\\Local\\Temp\\gradio\\c11214e40bc377f739a790affd1845f61826bf80172d11a766d4ede33e9b7783\\confusion_matrix.png"", ""size"": null, ""orig_name"": ""confusion_matrix.png"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}","{""path"": "".gradio\\cached_examples\\19\\ROC Curve\\29db53d35d551438d4d7\\roc_curve.png"", ""url"": ""/gradio_api/file=C:\\Users\\Rudraksh\\AppData\\Local\\Temp\\gradio\\004012f7829a0e32a445ef621cbb340583fbacc28f859db800b62312286a1acd\\roc_curve.png"", ""size"": null, ""orig_name"": ""roc_curve.png"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",2024-10-22 20:37:22.089573
"{""label"": ""real"", ""confidences"": [{""label"": ""real"", ""confidence"": 0.9998878240585327}, {""label"": ""fake"", ""confidence"": 0.00011217594146728516}]}",0,"{""path"": "".gradio\\cached_examples\\19\\Face with Explainability\\54d54b312ef7f9f1851b\\image.webp"", ""url"": ""/gradio_api/file=C:\\Users\\Rudraksh\\AppData\\Local\\Temp\\gradio\\16cf282160c0103b0a718100771ef56b533898dfb734abb43a60b58648183099\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}","{""path"": "".gradio\\cached_examples\\19\\Confusion Matrix\\fbb5a5ce29f71a52fdca\\confusion_matrix.png"", ""url"": ""/gradio_api/file=C:\\Users\\Rudraksh\\AppData\\Local\\Temp\\gradio\\c11214e40bc377f739a790affd1845f61826bf80172d11a766d4ede33e9b7783\\confusion_matrix.png"", ""size"": null, ""orig_name"": ""confusion_matrix.png"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}","{""path"": "".gradio\\cached_examples\\19\\ROC Curve\\310ae2e213adad810e3a\\roc_curve.png"", ""url"": ""/gradio_api/file=C:\\Users\\Rudraksh\\AppData\\Local\\Temp\\gradio\\004012f7829a0e32a445ef621cbb340583fbacc28f859db800b62312286a1acd\\roc_curve.png"", ""size"": null, ""orig_name"": ""roc_curve.png"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",2024-10-22 20:37:23.261819
"{""label"": ""fake"", ""confidences"": [{""label"": ""fake"", ""confidence"": 0.5079668760299683}, {""label"": ""real"", ""confidence"": 0.49203312397003174}]}",1,"{""path"": "".gradio\\cached_examples\\19\\Face with Explainability\\8d37732b34be306d2ed6\\image.webp"", ""url"": ""/gradio_api/file=C:\\Users\\Rudraksh\\AppData\\Local\\Temp\\gradio\\7669587d35462a81263091aca688b348d85421d6d45e5988868f40f2b9132507\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}","{""path"": "".gradio\\cached_examples\\19\\Confusion Matrix\\df1559cd17edbd358ba2\\confusion_matrix.png"", ""url"": ""/gradio_api/file=C:\\Users\\Rudraksh\\AppData\\Local\\Temp\\gradio\\c11214e40bc377f739a790affd1845f61826bf80172d11a766d4ede33e9b7783\\confusion_matrix.png"", ""size"": null, ""orig_name"": ""confusion_matrix.png"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}","{""path"": "".gradio\\cached_examples\\19\\ROC Curve\\ca4bb62e2cbac1eb0ed8\\roc_curve.png"", ""url"": ""/gradio_api/file=C:\\Users\\Rudraksh\\AppData\\Local\\Temp\\gradio\\004012f7829a0e32a445ef621cbb340583fbacc28f859db800b62312286a1acd\\roc_curve.png"", ""size"": null, ""orig_name"": ""roc_curve.png"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",2024-10-22 20:37:25.901366
"{""label"": ""real"", ""confidences"": [{""label"": ""real"", ""confidence"": 0.9999476671218872}, {""label"": ""fake"", ""confidence"": 5.233287811279297e-05}]}",0,"{""path"": "".gradio\\cached_examples\\19\\Face with Explainability\\3b076e723894121eeeda\\image.webp"", ""url"": ""/gradio_api/file=C:\\Users\\Rudraksh\\AppData\\Local\\Temp\\gradio\\eec529b2cd50ce5bad3b6393e650f4fb12db134ed28ea5c4ebcf61031d98312a\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}","{""path"": "".gradio\\cached_examples\\19\\Confusion Matrix\\7960d437f7569e69b042\\confusion_matrix.png"", ""url"": ""/gradio_api/file=C:\\Users\\Rudraksh\\AppData\\Local\\Temp\\gradio\\c11214e40bc377f739a790affd1845f61826bf80172d11a766d4ede33e9b7783\\confusion_matrix.png"", ""size"": null, ""orig_name"": ""confusion_matrix.png"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}","{""path"": "".gradio\\cached_examples\\19\\ROC Curve\\7c5bcf546fc5f209cee9\\roc_curve.png"", ""url"": ""/gradio_api/file=C:\\Users\\Rudraksh\\AppData\\Local\\Temp\\gradio\\004012f7829a0e32a445ef621cbb340583fbacc28f859db800b62312286a1acd\\roc_curve.png"", ""size"": null, ""orig_name"": ""roc_curve.png"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",2024-10-22 20:37:27.033925
"{""label"": ""real"", ""confidences"": [{""label"": ""real"", ""confidence"": 1.0}, {""label"": ""fake"", ""confidence"": 0.0}]}",0,"{""path"": "".gradio\\cached_examples\\19\\Face with Explainability\\c21035cd4e5bdffeecc3\\image.webp"", ""url"": ""/gradio_api/file=C:\\Users\\Rudraksh\\AppData\\Local\\Temp\\gradio\\2f5ce46b63d6ea4f9d0d386d187bce412e4b95e293fded77e346f01e68b404c6\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}","{""path"": "".gradio\\cached_examples\\19\\Confusion Matrix\\014a43bf65772a5827fd\\confusion_matrix.png"", ""url"": ""/gradio_api/file=C:\\Users\\Rudraksh\\AppData\\Local\\Temp\\gradio\\c11214e40bc377f739a790affd1845f61826bf80172d11a766d4ede33e9b7783\\confusion_matrix.png"", ""size"": null, ""orig_name"": ""confusion_matrix.png"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}","{""path"": "".gradio\\cached_examples\\19\\ROC Curve\\0faf3616b6bff46eb372\\roc_curve.png"", ""url"": ""/gradio_api/file=C:\\Users\\Rudraksh\\AppData\\Local\\Temp\\gradio\\004012f7829a0e32a445ef621cbb340583fbacc28f859db800b62312286a1acd\\roc_curve.png"", ""size"": null, ""orig_name"": ""roc_curve.png"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",2024-10-22 20:37:28.276556
"{""label"": ""real"", ""confidences"": [{""label"": ""real"", ""confidence"": 0.9741711020469666}, {""label"": ""fake"", ""confidence"": 0.025828897953033447}]}",0,"{""path"": "".gradio\\cached_examples\\19\\Face with Explainability\\bbb784081243461c9841\\image.webp"", ""url"": ""/gradio_api/file=C:\\Users\\Rudraksh\\AppData\\Local\\Temp\\gradio\\6bf15a357b2d051eb6b7e6322cb92c0009c9e34b0057b2ecdfd557dc62bf140f\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}","{""path"": "".gradio\\cached_examples\\19\\Confusion Matrix\\db52eb581e377f9a9076\\confusion_matrix.png"", ""url"": ""/gradio_api/file=C:\\Users\\Rudraksh\\AppData\\Local\\Temp\\gradio\\c11214e40bc377f739a790affd1845f61826bf80172d11a766d4ede33e9b7783\\confusion_matrix.png"", ""size"": null, ""orig_name"": ""confusion_matrix.png"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}","{""path"": "".gradio\\cached_examples\\19\\ROC Curve\\9001b81c11b925bc5997\\roc_curve.png"", ""url"": ""/gradio_api/file=C:\\Users\\Rudraksh\\AppData\\Local\\Temp\\gradio\\004012f7829a0e32a445ef621cbb340583fbacc28f859db800b62312286a1acd\\roc_curve.png"", ""size"": null, ""orig_name"": ""roc_curve.png"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",2024-10-22 20:37:29.314548
"{""label"": ""real"", ""confidences"": [{""label"": ""real"", ""confidence"": 0.9998127818107605}, {""label"": ""fake"", ""confidence"": 0.00018721818923950195}]}",0,"{""path"": "".gradio\\cached_examples\\19\\Face with Explainability\\94dfe3d6945cdcdbc52c\\image.webp"", ""url"": ""/gradio_api/file=C:\\Users\\Rudraksh\\AppData\\Local\\Temp\\gradio\\a6bc35f50c8799e073ba0965f7a176d8ffab9b86b3389565137154fa52483e2c\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}","{""path"": "".gradio\\cached_examples\\19\\Confusion Matrix\\66e2a7f0ab31828cfc34\\confusion_matrix.png"", ""url"": ""/gradio_api/file=C:\\Users\\Rudraksh\\AppData\\Local\\Temp\\gradio\\c11214e40bc377f739a790affd1845f61826bf80172d11a766d4ede33e9b7783\\confusion_matrix.png"", ""size"": null, ""orig_name"": ""confusion_matrix.png"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}","{""path"": "".gradio\\cached_examples\\19\\ROC Curve\\70f1416606070052ae12\\roc_curve.png"", ""url"": ""/gradio_api/file=C:\\Users\\Rudraksh\\AppData\\Local\\Temp\\gradio\\004012f7829a0e32a445ef621cbb340583fbacc28f859db800b62312286a1acd\\roc_curve.png"", ""size"": null, ""orig_name"": ""roc_curve.png"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",2024-10-22 20:37:30.635655
"{""label"": ""fake"", ""confidences"": [{""label"": ""fake"", ""confidence"": 0.9999999760253875}, {""label"": ""real"", ""confidence"": 2.3974612517463356e-08}]}",1,"{""path"": "".gradio\\cached_examples\\19\\Face with Explainability\\a6e871c8abf72750c1f2\\image.webp"", ""url"": ""/gradio_api/file=C:\\Users\\Rudraksh\\AppData\\Local\\Temp\\gradio\\3860374ac3d3ef8601c1ba718616c9d133713e257c93db6e9b6a1b47da3e467c\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}","{""path"": "".gradio\\cached_examples\\19\\Confusion Matrix\\707970ef7655ec6f222c\\confusion_matrix.png"", ""url"": ""/gradio_api/file=C:\\Users\\Rudraksh\\AppData\\Local\\Temp\\gradio\\c11214e40bc377f739a790affd1845f61826bf80172d11a766d4ede33e9b7783\\confusion_matrix.png"", ""size"": null, ""orig_name"": ""confusion_matrix.png"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}","{""path"": "".gradio\\cached_examples\\19\\ROC Curve\\00500dec975fc3b6745a\\roc_curve.png"", ""url"": ""/gradio_api/file=C:\\Users\\Rudraksh\\AppData\\Local\\Temp\\gradio\\004012f7829a0e32a445ef621cbb340583fbacc28f859db800b62312286a1acd\\roc_curve.png"", ""size"": null, ""orig_name"": ""roc_curve.png"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",2024-10-22 20:37:42.150578
